"Site ID","Site Name",Province,Munciple,Locality,"Latitude ","Longitude ","Site Code",Vendor,"Responsible Area",Priority,"Priority Comment","Element Type",Model,MSC,MGW,BSC,RNC,Phase,"Service Date",Stage,"Sub Stage","Start Date",End_Date,"Created Date"
439,Cuca,Luanda,Cazenga,Cazenga,-8.82036,13.2819,CZ105,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:40"
440,"Cuca 2",Luanda,Cazenga,"Hoji Ya Henda",-8.81551,13.27681,CZ350,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:40"
451,Dangereux,Luanda,Belas,Camama,-8.924575,13.211127,BL293,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:41"
452,"Dolce Vita",Luanda,Belas,Belas,-8.92329,13.17286,BL454,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:41"
457,"Edificio INE",Luanda,Luanda,Cassequel,-8.840511,13.232433,LD106,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:42"
470,"Estalagem Gindungo",Luanda,Viana,Estalagem,-8.870416,13.324527,VA108,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:44"
471,"Estrada Patriota",Luanda,Belas,"Benfica e Mussulo",-8.93058,13.1662,BL109,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:44"
473,Fapa,Luanda,Luanda,"Rocha Pinto",-8.85196,13.2169,LD110,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:44"
474,"Farmacia Kinaxixi",Luanda,Luanda,Maculusso,-8.817586,13.24386,LD111,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:44"
476,Filda,Luanda,Cazenga,Cazenga,-8.85153,13.294554,CZ289,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:44"
477,Floresta,Luanda,Belas,"Benfica e Mussulo",-8.98985,13.09678,BL112,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:44"
479,Forum,Luanda,Luanda,Prenda,-8.83887,13.23396,LD113,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:45"
480,Frescangol,Luanda,Cazenga,Cazenga,-8.84872,13.28755,CZ114,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:45"
483,"Funda_Cowboy 1",Luanda,Cacuaco,Funda,-8.84727,13.54909,CA353,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:45"
487,Gamek,Luanda,Belas,,-8.889637,13.209116,BL116,,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:46"
488,"Gamek Henorade",Luanda,Luanda,"Rocha Pinto",-8.8830838,13.1903486,LD358,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:46"
489,"Gamek Motocross ",Luanda,Belas,"Rocha Pinto",-8.89904,13.21389,LD359,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:46"
490,"Gamek Oeste",Luanda,Belas,Camama,-8.885079,13.197101,BL117,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:46"
491,"Gamek Rocha",Luanda,Belas,"Rocha Pinto",-8.87531,13.20556,LD360,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:46"
496,"Golf 2",Luanda,Belas,"Vila Estoril",-8.8897,13.25846,BL118,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:47"
497,"Golf 2 Estoril",Luanda,Belas,"Vila Estoril",-8.8798,13.25424,LD364,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:30:47"
498,"Golf 2 Rasta",Luanda,Belas,"Vila Estoril",-8.8784,13.23898,LD365,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:40"
499,"Golf 2 Vale",Luanda,Belas,"Vila Estoril",-8.873214,13.258402,BL119,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:40"
500,"Golf 28 de Agosto",Luanda,Belas,"Vila Estoril",-8.89085,13.23691,BL121,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:40"
501,"Golf 4 Pia Marta",Luanda,Belas,"Vila Estoril",-8.88325,13.24871,LD366,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:40"
502,"Golf 4",Luanda,Belas,Cassequel,-8.8705,13.2429,BL120,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:40"
505,HABV,Luanda,Luanda,Rangel,-8.82294,13.26097,LD122,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:40"
508,HCTA,Luanda,Belas,"Futungo de Belas",-8.916157,13.19683,BL123,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:40"
511,Honga,Luanda,Belas,"Benfica e Mussulo",-8.94196,13.19133,BL469,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:42"
514,"Hotel Bahia",Luanda,Luanda,Maianga,-8.819661,13.217019,LD124,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:42"
515,"Hotel Epic Sana",Luanda,Luanda,,-8.81479,13.23525,LD125,,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:42"
523,Ilha,Luanda,Luanda,"Ilha do Cabo",-8.7945,13.2256,LD126,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:42"
524,"Ilha Gril",Luanda,Luanda,"Ilha do Cabo",-8.774708,13.24905,LD127,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:42"
526,IMEK,Luanda,Luanda,"Neves Bendinha",-8.84586,13.26256,LD372,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:43"
530,"Jacinto Tchipa",Luanda,Viana,Viana,-8.92088,13.33591,VA328,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:43"
532,"Jardim de Rosas",Luanda,Belas,Camama,-8.97176,13.23158,BL373,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:43"
533,"Jardim do Eden",Luanda,Belas,Camama,-8.938194,13.235917,BL128,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:43"
534,"Jardim do Eden 1",Luanda,Belas,Camama,-8.93812,13.25482,BL374,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:44"
536,Jornalistas,Luanda,Luanda,Maculusso,-8.82114,13.2353,LD129,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:44"
540,Kapalanca,Luanda,Viana,Viana,-8.90146,13.39518,VA131,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:44"
541,"Kapalanca zona A",Luanda,Viana,Viana,-8.91435,13.39092,VA375,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:44"
550,Kero,Luanda,Belas,"Kilamba Kiaxi",-8.894219,13.224214,BL133,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:45"
551,"Kicolo - Bom Pastor",Luanda,Cacuaco,Kicolo,-8.812638,13.336972,CA134,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:46"
552,"Kicolo Boa Esperança ",Luanda,Cacuaco,Kicolo,-8.784361,13.334583,CA135,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:46"
553,"Kifica 2",Luanda,Belas,"Benfica e Mussulo",-8.9563,13.19813,BL136,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:46"
554,"Kifica Mercado",Luanda,Belas,"Benfica e Mussulo",-8.962306,13.176806,BL137,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:46"
555,"Kikolo Praca",Luanda,Cacuaco,Kicolo,-8.79624,13.336448,CA380,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:46"
557,"Kikuxi Expresso",Luanda,Viana,Viana,-8.985944,13.37875,VA138,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:47"
558,"Kilamba C29",Luanda,Belas,"Kilamba Kiaxi",-8.99273,13.26344,BL139,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:47"
559,"Kilamba D23",Luanda,Belas,"Kilamba Kiaxi",-8.99676,13.25456,BL140,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:47"
560,"Kilamba ETAR",Luanda,Belas,"Kilamba Kiaxi",-8.984278,13.251389,LD141,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:47"
561,"Kilamba J25",Luanda,Belas,"Kilamba Kiaxi",-9.00502,13.25833,BL142,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:47"
